Designator,Mid X,Mid Y,Rotation,Layer
C1,193.512501,-121.35,180.0,bottom
C10,180.5,-114.99,90.0,bottom
C11,186.0,-121.14,0.0,bottom
C12,189.5,-110.49,180.0,bottom
C13,190.95,-84.086,180.0,bottom
C14,189.9,-92.35,180.0,bottom
C15,189.9,-89.99,180.0,bottom
C16,194.5,-84.893,90.0,bottom
C17,194.5,-81.186,270.0,bottom
C18,186.4,-83.36,180.0,bottom
C2,187.05,-105.1375,90.0,top
C3,193.512501,-119.05,180.0,bottom
C4,185.7,-124.29,180.0,top
C5,182.1625,-124.265,180.0,top
C6,186.0,-119.04,0.0,bottom
C7,191.4875,-132.74,180.0,top
C8,186.0,-110.49,0.0,bottom
C9,190.9,-114.99,90.0,bottom
D1,189.65,-105.0875,270.0,top
D2,190.9725,-87.675,0.0,top
D3,180.575,-87.675,0.0,top
D4,193.2,-141.57,0.0,top
D5,185.82,-87.675,0.0,top
D6,191.7192,-80.9488,90.0,top
D7,194.1068,-80.9508,90.0,top
FB1,189.775001,-119.05,0.0,bottom
FB2,186.4,-93.875,180.0,bottom
J1,189.645,-96.46,270.0,top
J2,180.625,-83.675,180.0,top
J3,197.2,-80.3656,180.0,bottom
J4,174.4,-80.3656,180.0,bottom
JP1,181.95,-137.3,270.0,top
L1,190.95,-87.086,180.0,bottom
Q1,191.94,-91.1375,90.0,top
Q2,181.875,-92.85,0.0,bottom
Q3,186.4,-90.95,90.0,bottom
R1,180.5525,-90.2,180.0,top
R10,186.4,-85.57,0.0,bottom
R11,186.4,-81.15,180.0,bottom
R12,181.875,-90.0,180.0,bottom
R13,181.875,-87.78,180.0,bottom
R2,193.1775,-138.8,0.0,top
R3,185.7975,-90.2,180.0,top
R4,193.6925,-92.35,0.0,bottom
R5,189.1,-133.4,0.0,bottom
R6,193.605,-89.99,180.0,bottom
R7,177.325,-141.58,270.0,top
R8,193.1775,-136.3,0.0,top
R9,186.4,-87.78,180.0,bottom
SW1,181.35,-141.83,0.0,top
SW2,188.0,-141.83,0.0,top
U1,185.99,-114.89,135.0,top
U2,185.99,-114.89,0.0,bottom
U3,186.9,-137.1,180.0,top
U4,190.95,-81.161,180.0,bottom
X1,191.07,-127.75,90.0,top
Y1,183.925,-129.715,270.0,top
